START_DATE,START_DATE,START_TIME,END_DATE,END_DATE,END_TIME,TIME DIFF(MINS),HOURS,CATEGORY,START,STOP,MILES,SPEED,PURPOSE
12-05-2016 18:04,05-12-2016,06:04:00 PM,12-05-2016 18:17,05-12-2016,06:17:00 PM,12:13:00 AM,0.22,Business,Cary,Cary,4.1,18.9,Unknown
12-05-2016 19:22,05-12-2016,07:22:00 PM,12-05-2016 19:37,05-12-2016,07:37:00 PM,12:15:00 AM,0.25,Business,Cary,Cary,3.8,15.2,Meal/Entertain
12-07-2016 12:03,07-12-2016,12:03:00 PM,12-07-2016 12:32,07-12-2016,12:32:00 PM,12:29:00 AM,0.48,Business,Cary,Cary,6.6,13.7,Meeting
12-07-2016 12:35,07-12-2016,12:35:00 PM,12-07-2016 12:46,07-12-2016,12:46:00 PM,12:11:00 AM,0.18,Business,Cary,Cary,4,21.8,Meeting
12-07-2016 19:53,07-12-2016,07:53:00 PM,12-07-2016 20:13,07-12-2016,08:13:00 PM,12:20:00 AM,0.33,Business,Cary,Cary,7,21.0,Customer Visit
12-07-2016 21:13,07-12-2016,09:13:00 PM,12-07-2016 21:50,07-12-2016,09:50:00 PM,12:37:00 AM,0.62,Business,Cary,Cary,6.9,11.2,Meal/Entertain
12-08-2016 14:19,08-12-2016,02:19:00 PM,12-08-2016 14:32,08-12-2016,02:32:00 PM,12:13:00 AM,0.22,Business,Cary,Cary,3.4,15.7,Errand/Supplies
12-08-2016 14:53,08-12-2016,02:53:00 PM,12-08-2016 15:02,08-12-2016,03:02:00 PM,12:09:00 AM,0.15,Business,Cary,Cary,3.4,22.7,Errand/Supplies
12-08-2016 19:22,08-12-2016,07:22:00 PM,12-08-2016 19:27,08-12-2016,07:27:00 PM,12:05:00 AM,0.08,Business,Cary,Cary,2,24.0,Meeting
12-08-2016 21:26,08-12-2016,09:26:00 PM,12-08-2016 21:31,08-12-2016,09:31:00 PM,12:05:00 AM,0.08,Business,Cary,Cary,2,24.0,Errand/Supplies
12-09-2016 12:09,09-12-2016,12:09:00 PM,12-09-2016 12:24,09-12-2016,12:24:00 PM,12:15:00 AM,0.25,Business,Cary,Apex,5.1,20.4,Errand/Supplies
12-09-2016 13:15,09-12-2016,01:15:00 PM,12-09-2016 13:43,09-12-2016,01:43:00 PM,12:28:00 AM,0.47,Business,Apex,Cary,8.8,18.9,Temporary Site
12-09-2016 20:11,09-12-2016,08:11:00 PM,12-09-2016 20:34,09-12-2016,08:34:00 PM,12:23:00 AM,0.38,Business,Cary,Cary,5.6,14.6,Meeting
12-09-2016 22:03,09-12-2016,10:03:00 PM,12-09-2016 22:57,09-12-2016,10:57:00 PM,12:54:00 AM,0.90,Business,Cary,Cary,18.9,21.0,Customer Visit
12-10-2016 12:43,10-12-2016,12:43:00 PM,12-10-2016 13:16,10-12-2016,01:16:00 PM,12:33:00 AM,0.55,Business,Cary,Fuquay-Varina,15.6,28.4,Meeting
12-10-2016 14:42,10-12-2016,02:42:00 PM,12-10-2016 15:18,10-12-2016,03:18:00 PM,12:36:00 AM,0.60,Business,Fuquay-Varina,Cary,15.6,26.0,Errand/Supplies
12-10-2016 18:17,10-12-2016,06:17:00 PM,12-10-2016 18:27,10-12-2016,06:27:00 PM,12:10:00 AM,0.17,Business,Cary,Morrisville,3,18.0,Meal/Entertain
12-10-2016 22:09,10-12-2016,10:09:00 PM,12-10-2016 22:21,10-12-2016,10:21:00 PM,12:12:00 AM,0.20,Business,Morrisville,Cary,3.1,15.5,Customer Visit
12-11-2016 16:06,11-12-2016,04:06:00 PM,12-11-2016 16:16,11-12-2016,04:16:00 PM,12:10:00 AM,0.17,Business,Cary,Morrisville,3,18.0,Meal/Entertain
12-11-2016 19:05,11-12-2016,07:05:00 PM,12-11-2016 19:15,11-12-2016,07:15:00 PM,12:10:00 AM,0.17,Business,Morrisville,Cary,4.8,28.8,Errand/Supplies
12-11-2016 21:48,11-12-2016,09:48:00 PM,12-11-2016 21:56,11-12-2016,09:56:00 PM,12:08:00 AM,0.13,Business,Cary,Cary,2.1,15.8,Errand/Supplies
12-12-2016 13:22,12-12-2016,01:22:00 PM,12-12-2016 13:32,12-12-2016,01:32:00 PM,12:10:00 AM,0.17,Business,Cary,Cary,3.1,18.6,Errand/Supplies
12-12-2016 13:36,12-12-2016,01:36:00 PM,12-12-2016 13:51,12-12-2016,01:51:00 PM,12:15:00 AM,0.25,Business,Cary,Apex,4.4,17.6,Meal/Entertain
12-12-2016 14:26,12-12-2016,02:26:00 PM,12-12-2016 14:39,12-12-2016,02:39:00 PM,12:13:00 AM,0.22,Business,Apex,Cary,4.7,21.7,Customer Visit
12-12-2016 17:51,12-12-2016,05:51:00 PM,12-12-2016 18:01,12-12-2016,06:01:00 PM,12:10:00 AM,0.17,Business,Cary,Morrisville,3,18.0,Meal/Entertain
12-12-2016 20:48,12-12-2016,08:48:00 PM,12-12-2016 20:57,12-12-2016,08:57:00 PM,12:09:00 AM,0.15,Business,Morrisville,Cary,3,20.0,Customer Visit
12-13-2016 18:19,13-12-2016,06:19:00 PM,12-13-2016 18:29,13-12-2016,06:29:00 PM,12:10:00 AM,0.17,Business,Cary,Cary,4.2,25.2,Errand/Supplies
12-13-2016 20:20,13-12-2016,08:20:00 PM,12-13-2016 20:29,13-12-2016,08:29:00 PM,12:09:00 AM,0.15,Business,Cary,Cary,4.1,27.3,Meal/Entertain
12-14-2016 16:52,14-12-2016,04:52:00 PM,12-14-2016 17:10,14-12-2016,05:10:00 PM,12:18:00 AM,0.30,Business,Cary,Cary,3.4,11.3,Unknown
12-14-2016 17:22,14-12-2016,05:22:00 PM,12-14-2016 17:34,14-12-2016,05:34:00 PM,12:12:00 AM,0.20,Business,Cary,Cary,3.3,16.5,Unknown
12-14-2016 17:50,14-12-2016,05:50:00 PM,12-14-2016 18:00,14-12-2016,06:00:00 PM,12:10:00 AM,0.17,Business,Cary,Morrisville,3,18.0,Meal/Entertain
12-14-2016 20:24,14-12-2016,08:24:00 PM,12-14-2016 20:40,14-12-2016,08:40:00 PM,12:16:00 AM,0.27,Business,Morrisville,Cary,3.1,11.6,Customer Visit
12-15-2016 14:20,15-12-2016,02:20:00 PM,12-15-2016 14:54,15-12-2016,02:54:00 PM,12:34:00 AM,0.57,Business,Cary,Morrisville,10.6,18.7,Meeting
12-17-2016 15:38,17-12-2016,03:38:00 PM,12-17-2016 16:12,17-12-2016,04:12:00 PM,12:34:00 AM,0.57,Business,Unknown Location,Unknown Location,4.8,8.5,Airport/Travel
12-17-2016 17:19,17-12-2016,05:19:00 PM,12-17-2016 17:59,17-12-2016,05:59:00 PM,12:40:00 AM,0.67,Business,Unknown Location,Unknown Location,5.3,8.0,Temporary Site
12-18-2016 13:03,18-12-2016,01:03:00 PM,12-18-2016 13:41,18-12-2016,01:41:00 PM,12:38:00 AM,0.63,Business,Unknown Location,Unknown Location,4.9,7.7,Errand/Supplies
12-18-2016 16:38,18-12-2016,04:38:00 PM,12-18-2016 17:25,18-12-2016,05:25:00 PM,12:47:00 AM,0.78,Business,Unknown Location,Unknown Location,10.2,13.0,Errand/Supplies
12-18-2016 20:35,18-12-2016,08:35:00 PM,12-18-2016 21:04,18-12-2016,09:04:00 PM,12:29:00 AM,0.48,Business,Unknown Location,Unknown Location,9.2,19.0,Unknown
12-19-2016 9:08,19-12-2016,09:08:00 AM,12-19-2016 9:36,19-12-2016,09:36:00 AM,12:28:00 AM,0.47,Business,Unknown Location,Islamabad,7.7,16.5,Errand/Supplies
12-19-2016 10:15,19-12-2016,10:15:00 AM,12-19-2016 10:34,19-12-2016,10:34:00 AM,12:19:00 AM,0.32,Business,Islamabad,Rawalpindi,5.9,18.6,Temporary Site
12-19-2016 13:04,19-12-2016,01:04:00 PM,12-19-2016 13:08,19-12-2016,01:08:00 PM,12:04:00 AM,0.07,Business,Rawalpindi,Unknown Location,0.7,10.5,Errand/Supplies
12-19-2016 13:24,19-12-2016,01:24:00 PM,12-19-2016 13:35,19-12-2016,01:35:00 PM,12:11:00 AM,0.18,Business,Unknown Location,Unknown Location,1.3,7.1,Unknown
12-19-2016 14:07,19-12-2016,02:07:00 PM,12-19-2016 14:15,19-12-2016,02:15:00 PM,12:08:00 AM,0.13,Business,Unknown Location,Unknown Location,2.5,18.8,Unknown
12-19-2016 14:18,19-12-2016,02:18:00 PM,12-19-2016 14:32,19-12-2016,02:32:00 PM,12:14:00 AM,0.23,Business,Unknown Location,Unknown Location,5.3,22.7,Unknown
12-19-2016 14:37,19-12-2016,02:37:00 PM,12-19-2016 14:50,19-12-2016,02:50:00 PM,12:13:00 AM,0.22,Business,Unknown Location,Unknown Location,5.4,24.9,Unknown
12-19-2016 15:09,19-12-2016,03:09:00 PM,12-19-2016 15:38,19-12-2016,03:38:00 PM,12:29:00 AM,0.48,Business,Unknown Location,Rawalpindi,10.2,21.1,Customer Visit
12-19-2016 16:50,19-12-2016,04:50:00 PM,12-19-2016 17:09,19-12-2016,05:09:00 PM,12:19:00 AM,0.32,Business,Rawalpindi,Islamabad,7.2,22.7,Customer Visit
12-19-2016 19:05,19-12-2016,07:05:00 PM,12-19-2016 19:17,19-12-2016,07:17:00 PM,12:12:00 AM,0.20,Business,Islamabad,Unknown Location,2.2,11.0,Unknown
12-19-2016 19:55,19-12-2016,07:55:00 PM,12-19-2016 20:30,19-12-2016,08:30:00 PM,12:35:00 AM,0.58,Business,Unknown Location,Unknown Location,11,18.9,Meeting
12-20-2016 8:49,20-12-2016,08:49:00 AM,12-20-2016 9:24,20-12-2016,09:24:00 AM,12:35:00 AM,0.58,Business,Unknown Location,Rawalpindi,12,20.6,Unknown
12-20-2016 10:30,20-12-2016,10:30:00 AM,12-20-2016 10:48,20-12-2016,10:48:00 AM,12:18:00 AM,0.30,Business,Rawalpindi,Rawalpindi,3.3,11.0,Errand/Supplies
